model,label_file,ari,n_messages
143535,labels_20250131_143535_gpt4o_thisiscere.csv,0.5833638248566898,49
143840,labels_20250227_143840_llama3.3_thisiscere.csv,0.3034873047905666,67
171944,labels_20250131_171944_claude35s_thisiscere.csv,0.5680705190989226,49
164319,labels_20250226_164319_mistral7b_thisiscere.csv,0.20474087845689054,29
180822,labels_20250224_180822_mistral7b_thisiscere.csv,0.1927750076320342,27
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.8652871839336348,67
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.2194934765924789,27

